# Time(ps) Median_Mean_Curvature(1/A)
76300.0000 0.00769900
76400.0000 0.00770599
76500.0000 0.00779317
76600.0000 0.00777077
76700.0000 0.00776285
76800.0000 0.00775089
76900.0000 0.00782692
77000.0000 0.00782130
77100.0000 0.00785396
77200.0000 0.00791098
77300.0000 0.00783368
77400.0000 0.00791588
77500.0000 0.00797612
77600.0000 0.00799608
77700.0000 0.00804800
77800.0000 0.00802113
77900.0000 0.00803790
78000.0000 0.00809765
78100.0000 0.00808103
78200.0000 0.00814451
78300.0000 0.00813366
78400.0000 0.00807132
78500.0000 0.00812270
78600.0000 0.00812715
78700.0000 0.00808666
78800.0000 0.00811211
78900.0000 0.00810626
79000.0000 0.00817330
79100.0000 0.00820737
79200.0000 0.00819359
79300.0000 0.00817196
79400.0000 0.00813801
79500.0000 0.00820057
79600.0000 0.00816626
79700.0000 0.00820762
79800.0000 0.00828028
79900.0000 0.00829256
80000.0000 0.00822508
80100.0000 0.00822198
80200.0000 0.00829736
80300.0000 0.00817443
80400.0000 0.00825447
80500.0000 0.00826787
80600.0000 0.00827154
80700.0000 0.00825555
80800.0000 0.00833583
80900.0000 0.00834893
81000.0000 0.00834019
81100.0000 0.00834084
81200.0000 0.00829621
81300.0000 0.00833478
81400.0000 0.00830720
81500.0000 0.00837091
81600.0000 0.00833412
81700.0000 0.00829955
81800.0000 0.00833983
81900.0000 0.00828320
82000.0000 0.00835114
82100.0000 0.00834233
82200.0000 0.00835274
82300.0000 0.00839141
82400.0000 0.00832131
82500.0000 0.00839156
82600.0000 0.00830384
82700.0000 0.00835004
82800.0000 0.00844614
82900.0000 0.00839612
83000.0000 0.00837538
83100.0000 0.00843126
83200.0000 0.00847162
83300.0000 0.00846556
83400.0000 0.00837460
83500.0000 0.00842865
83600.0000 0.00839257
83700.0000 0.00840599
83800.0000 0.00841343
83900.0000 0.00844829
84000.0000 0.00849274
84100.0000 0.00846057
84200.0000 0.00841573
84300.0000 0.00849041
84400.0000 0.00845056
84500.0000 0.00845979
84600.0000 0.00842737
84700.0000 0.00843110
84800.0000 0.00849135
84900.0000 0.00838530
85000.0000 0.00849502
85100.0000 0.00852089
85200.0000 0.00851066
85300.0000 0.00844633
85400.0000 0.00851484
85500.0000 0.00849774
85600.0000 0.00851107
85700.0000 0.00851118
85800.0000 0.00854611
85900.0000 0.00854178
86000.0000 0.00852963
86100.0000 0.00859887
86200.0000 0.00860340
86300.0000 0.00861602
86400.0000 0.00858923
86500.0000 0.00865044
86600.0000 0.00858432
86700.0000 0.00856307
86800.0000 0.00863411
86900.0000 0.00859723
87000.0000 0.00862152
87100.0000 0.00860951
87200.0000 0.00855424
87300.0000 0.00859106
87400.0000 0.00860915
87500.0000 0.00864406
87600.0000 0.00864386
87700.0000 0.00869163
87800.0000 0.00875176
87900.0000 0.00866848
88000.0000 0.00860461
88100.0000 0.00860564
88200.0000 0.00864629
88300.0000 0.00866738
88400.0000 0.00869395
88500.0000 0.00873610
88600.0000 0.00872103
88700.0000 0.00874282
88800.0000 0.00875511
88900.0000 0.00875332
89000.0000 0.00874142
89100.0000 0.00873369
89200.0000 0.00871123
89300.0000 0.00872712
89400.0000 0.00871281
89500.0000 0.00872085
89600.0000 0.00877049
89700.0000 0.00870747
89800.0000 0.00870775
89900.0000 0.00871859
90000.0000 0.00876180
90100.0000 0.00876995
90200.0000 0.00882417
90300.0000 0.00876382
90400.0000 0.00876945
90500.0000 0.00879253
90600.0000 0.00883930
90700.0000 0.00876798
90800.0000 0.00878094
90900.0000 0.00889476
91000.0000 0.00893004
91100.0000 0.00889799
91200.0000 0.00879974
91300.0000 0.00886764
91400.0000 0.00881508
91500.0000 0.00876496
91600.0000 0.00887426
91700.0000 0.00884466
91800.0000 0.00885641
91900.0000 0.00883769
92000.0000 0.00884861
92100.0000 0.00888724
92200.0000 0.00889141
92300.0000 0.00892709
92400.0000 0.00890166
92500.0000 0.00884787
92600.0000 0.00891096
92700.0000 0.00892993
92800.0000 0.00884804
92900.0000 0.00885584
93000.0000 0.00892882
93100.0000 0.00891616
93200.0000 0.00890143
93300.0000 0.00896767
93400.0000 0.00892056
93500.0000 0.00893718
93600.0000 0.00893182
93700.0000 0.00898997
93800.0000 0.00895107
93900.0000 0.00903003
94000.0000 0.00900195
94100.0000 0.00895835
94200.0000 0.00900973
94300.0000 0.00896480
94400.0000 0.00902286
94500.0000 0.00901093
94600.0000 0.00902540
94700.0000 0.00901381
94800.0000 0.00904184
94900.0000 0.00900778
95000.0000 0.00908120
95100.0000 0.00904653
95200.0000 0.00898992
95300.0000 0.00909548
95400.0000 0.00904045
95500.0000 0.00903376
95600.0000 0.00896461
95700.0000 0.00903576
95800.0000 0.00897855
95900.0000 0.00898276
96000.0000 0.00908857
96100.0000 0.00901604
96200.0000 0.00903699
96300.0000 0.00903263
96400.0000 0.00899678
96500.0000 0.00899821
96600.0000 0.00898215
96700.0000 0.00900490
96800.0000 0.00903150
96900.0000 0.00904342
97000.0000 0.00901839
97100.0000 0.00899932
97200.0000 0.00906936
97300.0000 0.00906693
97400.0000 0.00906727
97500.0000 0.00899777
97600.0000 0.00899847
97700.0000 0.00908556
97800.0000 0.00904371
97900.0000 0.00908530
98000.0000 0.00906793
98100.0000 0.00904522
98200.0000 0.00907028
98300.0000 0.00908210
98400.0000 0.00904090
98500.0000 0.00908504
98600.0000 0.00912168
98700.0000 0.00908171
98800.0000 0.00907464
98900.0000 0.00908080
99000.0000 0.00910509
99100.0000 0.00909287
99200.0000 0.00907359
99300.0000 0.00914573
99400.0000 0.00909097
99500.0000 0.00907153
99600.0000 0.00911313
99700.0000 0.00906175
99800.0000 0.00910212
99900.0000 0.00908109
100000.0000 0.00909409
100100.0000 0.00908992
100200.0000 0.00912008
100300.0000 0.00908836
100400.0000 0.00908950
100500.0000 0.00905422
100600.0000 0.00909565
100700.0000 0.00908755
100800.0000 0.00908794
100900.0000 0.00909799
101000.0000 0.00908343
101100.0000 0.00906929
101200.0000 0.00909117
101300.0000 0.00906909
101400.0000 0.00911318
101500.0000 0.00909890
101600.0000 0.00911280
101700.0000 0.00912235
101800.0000 0.00906637
101900.0000 0.00906109
102000.0000 0.00911739
102100.0000 0.00907432
102200.0000 0.00906699
102300.0000 0.00905655
102400.0000 0.00908835
102500.0000 0.00903472
102600.0000 0.00908093
102700.0000 0.00908605
102800.0000 0.00906575
102900.0000 0.00912306
103000.0000 0.00911260
103100.0000 0.00906664
103200.0000 0.00911244
103300.0000 0.00909339
103400.0000 0.00910560
103500.0000 0.00905869
103600.0000 0.00908595
103700.0000 0.00907240
103800.0000 0.00911224
103900.0000 0.00906094
104000.0000 0.00905867
104100.0000 0.00913466
104200.0000 0.00912962
104300.0000 0.00910350
104400.0000 0.00910485
104500.0000 0.00903943
104600.0000 0.00906576
104700.0000 0.00911233
104800.0000 0.00911985
104900.0000 0.00908609
105000.0000 0.00913762
105100.0000 0.00907255
105200.0000 0.00907931
105300.0000 0.00911902
105400.0000 0.00909241
105500.0000 0.00903806
105600.0000 0.00909338
105700.0000 0.00910294
105800.0000 0.00914838
105900.0000 0.00911658
106000.0000 0.00908791
106100.0000 0.00907623
106200.0000 0.00905932
106300.0000 0.00906775
106400.0000 0.00901889
106500.0000 0.00907436
106600.0000 0.00901534
106700.0000 0.00907323
106800.0000 0.00907204
106900.0000 0.00907159
107000.0000 0.00908422
107100.0000 0.00909343
107200.0000 0.00913229
107300.0000 0.00908217
107400.0000 0.00902293
